0,site,horizon,horizon_type,proportion_sand,proportion_silt,proportion_clay,total_ssa.m2g,,
1,WREF,A1,A-Horizon,6.53,61.14,32.33,7.63511508,,
2,WREF,Bw1,Upper B-Horizon,9.8,62.35,27.85,7.22134189,,
3,WREF,Bw2,Lower B-Horizon,4.78,61.06,34.16,8.09847929,,
4,LENO,A2,A-Horizon,9.43,71.85,18.72,4.28419092,,
5,LENO,Bg,Upper B-Horizon,23.77,65.7,10.53,2.92845868,,
6,LENO,Btg3,Lower B-Horizon,6.02,68.94,25.04,5.17113137,,
7,KONA,Ap,A-Horizon,4.15,75.76,20.09,4.36881797,,
8,KONA,Bt1,Upper B-Horizon,2.71,74.88,22.41,3.22583236,,
9,KONA,Btk,Lower B-Horizon,0.21,70.08,29.71,7.4124295,,
10,OAES,Ak,A-Horizon,11.14,67.69,21.17,5.24302295,,
11,OAES,Bk1,Upper B-Horizon,3.79,67.67,28.54,6.98334049,,`
12,OAES,Bk2,Lower B-Horizon,4.18,68.69,27.13,7.21762383,,
13,NIWO,A,A-Horizon,26.28,57.78,15.94,4.3542116,,
14,NIWO,Bw1,Upper B-Horizon,34.74,56.75,8.51,3.90963736,,
15,NIWO,Bw2,Lower B-Horizon,30.19,60.14,9.67,2.19657227,,
16,UNDE,A,A-Horizon,51.39,38.28,10.33,3.78231043,,
17,UNDE,Bhs,Upper B-Horizon,52.06,36.11,11.83,3.10153133,,
18,UNDE,Bs1,Lower B-Horizon,69.54,23.35,7.11,3.66499164,,
19,SJER,A,A-Horizon,69.08,27.53,3.39,1.55051209,,
20,SJER,Bw1,Upper B-Horizon,61.73,33.91,4.36,1.98779738,,
21,JORN,Ak,A-Horizon,89.51,7.91,2.58,0.14285224,,
22,JORN,Bk1,Upper B-Horizon,79.94,13.8,6.26,2.05555404,,
23,JORN,2Bk1,Lower B-Horizon,28.68,25.7,45.62,11.1892796,,
24,STEI,A1,A-Horizon,28.09,57.47,14.44,2.65161411,,
25,STEI,Bs1,Upper B-Horizon,12.38,68.05,19.57,4.19630605,,
26,STEI,BC2,Lower B-Horizon,64.51,25.05,10.44,4.45557324,,
27,ONAQ,Ak,A-Horizon,34.71,47.14,18.15,4.31669813,,
28,ONAQ,Bk1,Upper B-Horizon,23.17,53.52,23.31,5.58954589,,
29,ONAQ,Bk2,Lower B-Horizon,19.39,55.83,24.78,6.37050052,,
30,GRSM,A,A-Horizon,0.75,69.3,29.95,5.95800966,,
31,GRSM,Bt1,Upper B-Horizon,24.33,59,16.67,3.61382464,,
32,GRSM,Bt2,Lower B-Horizon,11.82,71.84,16.34,3.85829907,,
33,WOOD,Apk,A-Horizon,58.35,29.2,12.45,5.60715076,,
34,WOOD,Bk1,Upper B-Horizon,53.44,31.48,15.08,3.34188891,,
35,WOOD,2Ck,Lower B-Horizon,30.13,50.32,19.55,5.12683413,,
36,SRER,Ak1,A-Horizon,59.03,31.95,9.02,3.96020983,,
37,SRER,Bw,Upper B-Horizon,67.46,25.66,6.88,3.30795805,,
38,SRER,Ck,Lower B-Horizon,29.88,47.59,22.53,6.3358961,,
39,TREE,A1,A-Horizon,55.16,38.69,6.15,3.47056662,,
40,TREE,Bs2,Upper B-Horizon,49.82,38.53,11.65,4.80674778,,
41,TREE,BC1,Lower B-Horizon,53.61,30.75,15.64,3.65337155,,
42,CLBJ,A1,A-Horizon,66.84,27.47,5.69,1.46854951,,
43,CLBJ,Bt1,Upper B-Horizon,55.81,37.83,6.36,1.70209175,,
44,CLBJ,Bt4,Lower B-Horizon,60.45,35.32,4.23,0.11346952,,
45,DCFS,A1,A-Horizon,0,60.64,39.36,10.3618982,,
46,DCFS,Bw1,Upper B-Horizon,21.83,56.33,21.84,5.31712015,,
47,DCFS,Bk2,Lower B-Horizon,9.78,60.12,30.1,7.22804942,,
48,MLBS,A,A-Horizon,3.25,63.19,33.56,3.58966105,,
49,MLBS,Bw1,Upper B-Horizon,53.04,29.52,17.44,4.08040494,,
50,MLBS,Bg,Lower B-Horizon,27.74,42.96,29.3,7.51512852,,
51,RMNP,A1,A-Horizon,8.72,63.75,27.53,6.49722992,,
52,RMNP,Bt,Upper B-Horizon,36.26,50.76,12.98,2.95652425,,
53,RMNP,B/C,Lower B-Horizon,38.81,49.49,11.7,3.29709354,,
54,BLAN,Ap1,A-Horizon,7.01,63.76,29.23,5.40898846,,
55,BLAN,Bt1,Upper B-Horizon,7.22,57.11,35.67,10.0165698,,
56,BLAN,Bt3,Lower B-Horizon,6.86,62.62,30.52,8.23985923,,
57,NGPR,A,A-Horizon,5.28,64.67,30.05,5.68614686,,
58,NGPR,Bt1,Upper B-Horizon,15.39,65.63,18.98,4.73105874,,
59,NGPR,Btk1,Lower B-Horizon,20.29,57.17,22.54,5.5783455,,
60,ABBY,A,A-horizon,22.63,46.34,31.03,7.90987538,,
61,ABBY,Bt1,Upper B-Horizon,9.02,46.04,44.94,11.1836175,,
62,ABBY,BC,Lower B-Horizon,8.15,54.52,37.33,10.1349657,,
63,MOAB,A,A-Horizon,78.46,16.4,5.14,2.61243197,,
64,MOAB,Bk1,Upper B-Horizon,63.1,23.6,13.3,3.91060912,,
65,MOAB,Bk3,Lower B-Horizon,77.09,13.88,9.03,2.90512588,,
66,SOAP,A,A-Horizon,35.68,53.09,11.23,3.16624772,,
67,SOAP,Bt1,Upper B-Horizon,55.28,39.01,5.71,3.36745985,,
68,SOAP,Bt3,Lower B-Horizon,57.85,37.35,4.8,2.84946152,,
69,SCBI,A,A-Horizon,0,58.37,41.63,10.6706783,,
70,SCBI,Bt1,Upper B-Horizon,0.12,53.6,46.28,13.3950512,,
71,SCBI,Bt2,Lower B-Horizon,0.15,59.12,40.73,10.3605713,,
72,STER,Ap1,A-Horizon,21.64,58.93,19.43,4.88916703,,
73,STER,Bkt1,Upper B-Horizon,24.11,54.47,21.42,5.42247304,,
74,STER,Bkt2,Lower B-Horizon,38.22,44.58,17.2,3.9572757,,
75,DSNY,A,A-Horizon,89.6,7.81,2.59,1.13993045,,
76,DSNY,Bh1,Upper B-Horizon,89.69,6.66,3.65,0.09140952,,
77,DSNY,Bh2,Lower B-Horizon,90.12,6.14,3.74,1.55975409,,
78,HARV,OA,A-Horizon,50.26,42.55,7.19,3.06499543,,
79,HARV,Bw1,Upper B-Horizon,55.59,37.46,6.95,2.58169527,,
80,HARV,Bw3,Lower B-Horizon,65.12,29.67,5.21,1.97137478,,
81,OSBS,AE,NA,NA,NA,NA,NA,,
82,OSBS,A/B,NA,NA,NA,NA,NA,,
83,OSBS,Bh,NA,NA,NA,NA,NA,,
84,OSBS,Bw2,NA,NA,NA,NA,NA,,
85,BART,OA,A-Horizon,9.42,70.02,20.56,2.84148683,,
86,DSNY,EA,NA,NA,NA,NA,NA,,
87,DSNY,E,NA,NA,NA,NA,NA,,
88,DSNY,EB,NA,NA,NA,NA,NA,,
89,BART,Bgs1,Upper B-Horizon,53.3,40.77,5.93,1.29340422,,
90,BART,BC,Lower B-Horizon,47.61,47.16,5.23,0.1455127,,
91,DSNY,E'1,NA,NA,NA,NA,NA,,
92,DSNY,E'2,NA,NA,NA,NA,NA,,
93,DSNY,B'h,NA,NA,NA,NA,NA,,
94,CPER,A2,NA,NA,NA,NA,NA,,
95,CPER,AB,NA,NA,NA,NA,NA,,
96,CPER,Bw2,NA,NA,NA,NA,NA,,
97,CPER,Bk1,NA,NA,NA,NA,NA,,
98,CPER,Bk2,NA,NA,NA,NA,NA,,
99,CPER,Btk1,NA,NA,NA,NA,NA,,
100,CPER,Btk2,NA,NA,NA,NA,NA,,
101,CPER,Bg1,NA,NA,NA,NA,NA,,
102,CPER,Bg2,NA,NA,NA,NA,NA,,
103,CPER,Bg3,NA,NA,NA,NA,NA,,
104,RMNP,A2,NA,NA,NA,NA,NA,,
105,RMNP,AB,NA,NA,NA,NA,NA,,
106,RMNP,Bw,NA,NA,NA,NA,NA,,
